Summer Grasses
夏草や,兵どもが,夢の跡
Natsukusa ya,Tsuwamonodomo ga,Yume no ato
Summer grasses,All that's left,Of warriors dreams

Moon Mountain
雲の峰,いくつ崩れて,月の山
Kumo no mine,Ikutsu kuzurete,Tsuki no yama
The crests of the cloud,Crumble frequently,The moon mountain

Snow View
いざ行かむ,雪見にころぶ,所まで
Iza yukan,Yukimi ni korobu,Tokoro made
Let’s go out,To see the snow view,Where we slip and fall

The Butterfly
蝶の触れ,行く礎沓に,匂ふ草
Cho no fure,Yuku soto ni,Niou kusa
The butterfly touches,Around the founding stone,A hint of grass

